Orden,Familia,GŽnero,Especie (nombre cient’fico),Especie (English common name),Especie (nombre comœn),Pericos,Triana,El 40,Zaragoza,Casco urbano Buenaventura,"Aves NO registradas en expedici—n Manacus2022, pero reportadas en eBird (0)"
Tinamiformes,Tinamidae,Nothocercus,Nothocercus bonapartei,Highland Tinamou,,,,,,,0
Tinamiformes,Tinamidae,Tinamus,Tinamus tao,Gray Tinamou,,,,,,,0
Tinamiformes,Tinamidae,Tinamus,Tinamus major,Great Tinamou,,1,1,1,1,,1
Tinamiformes,Tinamidae,Crypturellus,Crypturellus berlepschi,Berlepsch's Tinamou,,1,1,,,,1
Tinamiformes,Tinamidae,Crypturellus,Crypturellus soui,Little Tinamou,,,,,1,,1
Tinamiformes,Tinamidae,Crypturellus,Crypturellus kerriae,Choco Tinamou,,,,,,,0
Anseriformes,Anhimidae,Anhima,Anhima cornuta,Horned Screamer,,,,,,,0
Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis,Black-bellied Whistling-Duck,,,,,,,0
Anseriformes,Anatidae,Dendrocygna,Dendrocygna bicolor,Fulvous Whistling-Duck,,,,,,,0
Anseriformes,Anatidae,Cairina,Cairina moschata,Muscovy Duck,,,,,,,0
Anseriformes,Anatidae,Merganetta,Merganetta armata,Torrent Duck,,,,,,,0
Anseriformes,Anatidae,Spatula,Spatula discors,Blue-winged Teal,,,,,,,0
Anseriformes,Anatidae,Anas,Anas platyrhynchos,Mallard,,,,,,,0
Anseriformes,Anatidae,Anas,Anas bahamensis,White-cheeked Pintail,,,,,,,0
Anseriformes,Anatidae,Nomonyx,Nomonyx dominicus,Masked Duck,,,,,,,0
Galliformes,Cracidae,Ortalis,Ortalis columbiana,Colombian Chachalaca,,,,,,,0
Galliformes,Cracidae,Penelope,Penelope ortoni,Baudo Guan,,1,1,,,,1
Galliformes,Cracidae,Penelope,Penelope purpurascens,Crested Guan,,,,,,,0
Galliformes,Cracidae,Chamaepetes,Chamaepetes goudotii,Sickle-winged Guan,,,,,,,0
Galliformes,Cracidae,Crax,Crax rubra,Great Curassow,,,,,,,0
Galliformes,Odontophoridae,Rhynchortyx,Rhynchortyx cinctus,Tawny-faced Quail,,,,,,,0
Galliformes,Odontophoridae,Colinus,Colinus cristatus,Crested Bobwhite,,,,,,,0
Galliformes,Odontophoridae,Odontophorus,Odontophorus erythrops,Rufous-fronted Wood-Quail,,,,,,,0
Galliformes,Odontophoridae,Odontophorus,Odontophorus hyperythrus,Chestnut Wood-Quail,,,,,,,0
Galliformes,Phasianidae,Gallus,Gallus gallus,Red Junglefowl,Gallina,,,,,,0
Podicipediformes,Podicipedidae,Podilymbus,Podilymbus podiceps,Pied-billed Grebe,,,,,,,0
Columbiformes,Columbidae,Columba,Columba livia,Rock Pigeon,,1,1,,,1,1
Columbiformes,Columbidae,Patagioenas,Patagioenas cayennensis,Pale-vented Pigeon,,,,,,,0
Columbiformes,Columbidae,Patagioenas,Patagioenas speciosa,Scaled Pigeon,,1,1,,,,1
Columbiformes,Columbidae,Patagioenas,Patagioenas fasciata,Band-tailed Pigeon,,,,,,,0
Columbiformes,Columbidae,Patagioenas,Patagioenas plumbea,Plumbeous Pigeon,,,,,,,0
Columbiformes,Columbidae,Patagioenas,Patagioenas subvinacea,Ruddy Pigeon,,1,1,,,,1
Columbiformes,Columbidae,Patagioenas,Patagioenas goodsoni,Dusky Pigeon,,1,1,1,1,,1
Columbiformes,Columbidae,Columbina,Columbina minuta,Plain-breasted Ground Dove,,,,,,,0
Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,,1,1,,,,1
Columbiformes,Columbidae,Columbina,Columbina buckleyi,Ecuadorian Ground Dove,,,,,,,0
Columbiformes,Columbidae,Columbina,Columbina cruziana,Croaking Ground Dove,,,,,,,0
Columbiformes,Columbidae,Claravis,Claravis pretiosa,Blue Ground Dove,,,,,,,0
Columbiformes,Columbidae,Geotrygon,Geotrygon purpurata,Purple Quail-Dove,,,,,,,0
Columbiformes,Columbidae,Geotrygon,Geotrygon montana,Ruddy Quail-Dove,,1,1,,,,1
Columbiformes,Columbidae,Leptotrygon,Leptotrygon veraguensis,Olive-backed Quail-Dove,,,,,,,0
Columbiformes,Columbidae,Leptotila,Leptotila verreauxi,White-tipped Dove,,,,,,,0
Columbiformes,Columbidae,Leptotila,Leptotila cassinii,Gray-chested Dove,,,,,,,0
Columbiformes,Columbidae,Leptotila,Leptotila plumbeiceps,Gray-headed Dove,,,,,,,0
Columbiformes,Columbidae,Leptotila,Leptotila pallida,Pallid Dove,,,,,1,,1
Columbiformes,Columbidae,Zentrygon,Zentrygon frenata,White-throated Quail-Dove,,,,,,,0
Columbiformes,Columbidae,Zenaida,Zenaida auriculata,Eared Dove,,,,,,,0
Cuculiformes,Cuculidae,Crotophaga,Crotophaga major,Greater Ani,,,,,,,0
Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani,Smooth-billed Ani,,1,1,,,,1
Cuculiformes,Cuculidae,Tapera,Tapera naevia,Striped Cuckoo,,,,,,,0
Cuculiformes,Cuculidae,Neomorphus,Neomorphus radiolosus,Banded Ground-Cuckoo,,,,,,,0
Cuculiformes,Cuculidae,Coccycua,Coccycua minuta,Little Cuckoo,,,,,,,0
Cuculiformes,Cuculidae,Coccycua,Coccycua pumila,Dwarf Cuckoo,,,,,,,0
Cuculiformes,Cuculidae,Piaya,Piaya cayana,Squirrel Cuckoo,,,,,1,,1
Cuculiformes,Cuculidae,Coccyzus,Coccyzus melacoryphus,Dark-billed Cuckoo,,,,,,,0
Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,Yellow-billed Cuckoo,,,,,,,0
Cuculiformes,Cuculidae,Coccyzus,Coccyzus lansbergi,Gray-capped Cuckoo,,,,,,,0
Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles acutipennis,Lesser Nighthawk,,,,,,,0
Caprimulgiformes,Caprimulgidae,Lurocalis,Lurocalis semitorquatus,Short-tailed Nighthawk,,,,,,,0
Caprimulgiformes,Caprimulgidae,Systellura,Systellura longirostris,Band-winged Nightjar,,,,,,,0
Caprimulgiformes,Caprimulgidae,Nyctidromus,Nyctidromus albicollis,Common Pauraque,,,,,,,0
Caprimulgiformes,Caprimulgidae,Uropsalis,Uropsalis lyra,Lyre-tailed Nightjar,,,,,,,0
Caprimulgiformes,Caprimulgidae,Hydropsalis,Hydropsalis cayennensis,White-tailed Nightjar,,,,,,,0
Caprimulgiformes,Caprimulgidae,Nyctiphrynus,Nyctiphrynus rosenbergi,Choco Poorwill,,,,,,,0
Caprimulgiformes,Caprimulgidae,Antrostomus,Antrostomus carolinensis,Chuck-will's-widow,,,,,,,0
Nyctibiiformes,Nyctibiidae,Nyctibius,Nyctibius aethereus,Long-tailed Potoo,,,,,,,0
Nyctibiiformes,Nyctibiidae,Nyctibius,Nyctibius griseus,Common Potoo,,,,,,,0
Steatornithiformes,Steatornithidae,Steatornis,Steatornis caripensis,Oilbird,,,,,,,0
Apodiformes,Apodidae,Cypseloides,Cypseloides niger,Black Swift,,,,,,,0
Apodiformes,Apodidae,Cypseloides,Cypseloides cryptus,White-chinned Swift,,,,,,,0
Apodiformes,Apodidae,Streptoprocne,Streptoprocne rutila,Chestnut-collared Swift,,,,,,,0
Apodiformes,Apodidae,Streptoprocne,Streptoprocne zonaris,White-collared Swift,,1,1,,1,,1
Apodiformes,Apodidae,Chaetura,Chaetura pelagica,Chimney Swift,,,,,,,0
Apodiformes,Apodidae,Chaetura,Chaetura chapmani,Chapman's Swift,,,,,,,0
Apodiformes,Apodidae,Chaetura,Chaetura brachyura,Short-tailed Swift,,,,,,,0
Apodiformes,Apodidae,Chaetura,Chaetura cinereiventris,Gray-rumped Swift,,,,1,,,1
Apodiformes,Apodidae,Chaetura,Chaetura spinicaudus,Band-rumped Swift,,,,,,,0
Apodiformes,Apodidae,Aeronautes,Aeronautes montivagus,White-tipped Swift,,,,,,,0
Apodiformes,Apodidae,Panyptila,Panyptila cayennensis,Lesser Swallow-tailed Swift,,,,,,,0
Apodiformes,Trochilidae,Florisuga,Florisuga mellivora,White-necked Jacobin,,1,1,,,,1
Apodiformes,Trochilidae,Eutoxeres,Eutoxeres aquila,White-tipped Sicklebill,,1,1,,,,1
Apodiformes,Trochilidae,Glaucis,Glaucis aeneus,Bronzy Hermit,,,,,,,0
Apodiformes,Trochilidae,Glaucis,Glaucis hirsutus,Rufous-breasted Hermit,,,,,,,0
Apodiformes,Trochilidae,Threnetes,Threnetes ruckeri,Band-tailed Barbthroat,,,,1,,,0
Apodiformes,Trochilidae,Phaethornis,Phaethornis yaruqui,White-whiskered Hermit,,1,1,1,1,,1
Apodiformes,Trochilidae,Phaethornis,Phaethornis guy,Green Hermit,,,,,,,0
Apodiformes,Trochilidae,Phaethornis,Phaethornis syrmatophorus,Tawny-bellied Hermit,,,,,,,0
Apodiformes,Trochilidae,Phaethornis,Phaethornis anthophilus,Pale-bellied Hermit,,,,,,,0
Apodiformes,Trochilidae,Phaethornis,Phaethornis striigularis,Stripe-throated Hermit,,1,1,1,,,1
Apodiformes,Trochilidae,Doryfera,Doryfera ludovicae,Green-fronted Lancebill,,1,1,,,,1
Apodiformes,Trochilidae,Colibri,Colibri coruscans,Sparkling Violetear,,,,,,,0
Apodiformes,Trochilidae,Colibri,Colibri delphinae,Brown Violetear,,,,,,,0
Apodiformes,Trochilidae,Androdon,Androdon aequatorialis,Tooth-billed Hummingbird,,1,1,1,,,1
Apodiformes,Trochilidae,Heliothryx,Heliothryx barroti,Purple-crowned Fairy,,1,1,1,1,,1
Apodiformes,Trochilidae,Chrysolampis,Chrysolampis mosquitus,Ruby-topaz Hummingbird,,,,,,,0
Apodiformes,Trochilidae,Anthracothorax,Anthracothorax nigricollis,Black-throated Mango,,1,1,,,,1
Apodiformes,Trochilidae,Discosura,Discosura conversii,Green Thorntail,,,,,1,,1
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,Speckled Hummingbird,,,,,,,0
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,Long-tailed Sylph,,,,,,,0
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,Violet-tailed Sylph,,,,,,,0
Apodiformes,Trochilidae,Haplophaedia,Haplophaedia aureliae,Greenish Puffleg,,,,,,,0
Apodiformes,Trochilidae,Eriocnemis,Eriocnemis mosquera,Golden-breasted Puffleg,,,,,,,0
Apodiformes,Trochilidae,Coeligena,Coeligena coeligena,Bronzy Inca,,,,,,,0
Apodiformes,Trochilidae,Coeligena,Coeligena wilsoni,Brown Inca,,,,,,,0
Apodiformes,Trochilidae,Coeligena,Coeligena torquata,Collared Inca,,,,,,,0
Apodiformes,Trochilidae,Boissonneaua,Boissonneaua flavescens,Buff-tailed Coronet,,,,,,,0
Apodiformes,Trochilidae,Boissonneaua,Boissonneaua jardini,Velvet-purple Coronet,,,,,,,0
Apodiformes,Trochilidae,Ocreatus,Ocreatus underwoodii,Booted Racket-tail,,,,,,,0
Apodiformes,Trochilidae,Urochroa,Urochroa bougueri,Rufous-gaped Hillstar,,,,,,,0
Apodiformes,Trochilidae,Urosticte,Urosticte benjamini,Purple-bibbed Whitetip,,,,,,,0
Apodiformes,Trochilidae,Heliodoxa,Heliodoxa rubinoides,Fawn-breasted Brilliant,,,,,,,0
Apodiformes,Trochilidae,Heliodoxa,Heliodoxa jacula,Green-crowned Brilliant,,,,,,,0
Apodiformes,Trochilidae,Heliodoxa,Heliodoxa imperatrix,Empress Brilliant,,,,,,,0
Apodiformes,Trochilidae,Heliomaster,Heliomaster longirostris,Long-billed Starthroat,,,,,,,0
Apodiformes,Trochilidae,Chaetocercus,Chaetocercus mulsant,White-bellied Woodstar,,,,,,,0
Apodiformes,Trochilidae,Philodice,Philodice mitchellii,Purple-throated Woodstar,,,,,,,0
Apodiformes,Trochilidae,Chlorostilbon,Chlorostilbon melanorhynchus,Western Emerald,,,,,,,0
Apodiformes,Trochilidae,Chalybura,Chalybura urochrysia,Bronze-tailed Plumeleteer,,,,,,,0
Apodiformes,Trochilidae,Chalybura,Chalybura buffonii,White-vented Plumeleteer,,,,,,,0
Apodiformes,Trochilidae,Thalurania,Thalurania colombica,Crowned Woodnymph,,,,,,,0
Apodiformes,Trochilidae,Saucerottia,Saucerottia saucerottei,Steely-vented Hummingbird,,,,,,,0
Apodiformes,Trochilidae,Amazilia,Amazilia tzacatl,Rufous-tailed Hummingbird,,1,1,1,1,,1
Apodiformes,Trochilidae,Uranomitra,Uranomitra franciae,Andean Emerald,,,,,,,0
Apodiformes,Trochilidae,Chrysuronia,Chrysuronia humboldtii,Humboldt's Sapphire,,,,,,,0
Apodiformes,Trochilidae,Chrysuronia,Chrysuronia grayi,Blue-headed Sapphire,,,,,,,0
Apodiformes,Trochilidae,Polyerata,Polyerata rosenbergi,Blue-chested Hummingbird,,1,1,1,1,,1
Apodiformes,Trochilidae,Polyerata,Polyerata amabilis,Purple-chested Hummingbird,,,,1,,,0
Apodiformes,Trochilidae,Chlorestes,Chlorestes julie,Violet-bellied Hummingbird,,,,,,,0
Gruiformes,Rallidae,Pardirallus,Pardirallus nigricans,Blackish Rail,,,,,,,0
Gruiformes,Rallidae,Amaurolimnas,Amaurolimnas concolor,Uniform Crake,,,,,,,0
Gruiformes,Rallidae,Aramides,Aramides wolfi,Brown Wood-Rail,,,,,,,0
Gruiformes,Rallidae,Aramides,Aramides cajaneus,Gray-cowled Wood-Rail,,,,,,,0
Gruiformes,Rallidae,Porzana,Porzana carolina,Sora,,,,,,,0
Gruiformes,Rallidae,Porphyrio,Porphyrio martinica,Purple Gallinule,,,,,,,0
Gruiformes,Rallidae,Anurolimnas,Anurolimnas viridis,Russet-crowned Crake,,,,,,,0
Gruiformes,Rallidae,Laterallus,Laterallus albigularis,White-throated Crake,,,,,,,0
Gruiformes,Rallidae,Laterallus,Laterallus exilis,Gray-breasted Crake,,,,,,,0
Gruiformes,Heliornithidae,Heliornis,Heliornis fulica,Sungrebe,,,,,,,0
Gruiformes,Aramidae,Aramus,Aramus guarauna,Limpkin,,,,,,,0
Charadriiformes,Recurvirostridae,Himantopus,Himantopus mexicanus,Black-necked Stilt,,,,,,,0
Charadriiformes,Haematopodidae,Haematopus,Haematopus palliatus,American Oystercatcher,,,,,,,0
Charadriiformes,Charadriidae,Pluvialis,Pluvialis squatarola,Black-bellied Plover,,,,,,,0
Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,American Golden-Plover,,,,,,,0
Charadriiformes,Charadriidae,Vanellus,Vanellus chilensis,Southern Lapwing,,1,1,,,,1
Charadriiformes,Charadriidae,Charadrius,Charadrius collaris,Collared Plover,,,,,,,0
Charadriiformes,Charadriidae,Charadrius,Charadrius wilsonia,Wilson's Plover,,,,,,,0
Charadriiformes,Charadriidae,Charadrius,Charadrius semipalmatus,Semipalmated Plover,,,,,,,0
Charadriiformes,Jacanidae,Jacana,Jacana jacana,Wattled Jacana,,,,,,,0
Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,Upland Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,Whimbrel,,,,,,1,1
Charadriiformes,Scolopacidae,Numenius,Numenius americanus,Long-billed Curlew,,,,,,,0
Charadriiformes,Scolopacidae,Limosa,Limosa fedoa,Marbled Godwit,,,,,,,0
Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,Ruddy Turnstone,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris canutus,Red Knot,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris virgata,Surfbird,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris himantopus,Stilt Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris alba,Sanderling,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris bairdii,Baird's Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris minutilla,Least Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris fuscicollis,White-rumped Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris subruficollis,Buff-breasted Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris melanotos,Pectoral Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris pusilla,Semipalmated Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Calidris,Calidris mauri,Western Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Limnodromus,Limnodromus griseus,Short-billed Dowitcher,,,,,,,0
Charadriiformes,Scolopacidae,Phalaropus,Phalaropus tricolor,Wilson's Phalarope,,,,,,,0
Charadriiformes,Scolopacidae,Phalaropus,Phalaropus lobatus,Red-necked Phalarope,,,,,,,0
Charadriiformes,Scolopacidae,Phalaropus,Phalaropus fulicarius,Red Phalarope,,,,,,,0
Charadriiformes,Scolopacidae,Actitis,Actitis macularius,Spotted Sandpiper,,,,,,1,1
Charadriiformes,Scolopacidae,Tringa,Tringa solitaria,Solitary Sandpiper,,,,,,,0
Charadriiformes,Scolopacidae,Tringa,Tringa incana,Wandering Tattler,,,,,,,0
Charadriiformes,Scolopacidae,Tringa,Tringa melanoleuca,Greater Yellowlegs,,,,,,,0
Charadriiformes,Scolopacidae,Tringa,Tringa semipalmata,Willet,,,,,,1,1
Charadriiformes,Scolopacidae,Tringa,Tringa flavipes,Lesser Yellowlegs,,,,,,,0
Charadriiformes,Stercorariidae,Stercorarius,Stercorarius pomarinus,Pomarine Jaeger,,,,,,,0
Charadriiformes,Stercorariidae,Stercorarius,Stercorarius parasiticus,Parasitic Jaeger,,,,,,,0
Charadriiformes,Laridae,Creagrus,Creagrus furcatus,Swallow-tailed Gull,,,,,,,0
Charadriiformes,Laridae,Xema,Xema sabini,Sabine's Gull,,,,,,,0
Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,Black-headed Gull,,,,,,,0
Charadriiformes,Laridae,Hydrocoloeus,Hydrocoloeus minutus,Little Gull,,,,,,,0
Charadriiformes,Laridae,Leucophaeus,Leucophaeus atricilla,Laughing Gull,,,,,,1,1
Charadriiformes,Laridae,Leucophaeus,Leucophaeus pipixcan,Franklin's Gull,,,,,,,0
Charadriiformes,Laridae,Larus,Larus delawarensis,Ring-billed Gull,,,,,,,0
Charadriiformes,Laridae,Anous,Anous stolidus,Brown Noddy,,,,,,,0
Charadriiformes,Laridae,Anous,Anous minutus,Black Noddy,,,,,,,0
Charadriiformes,Laridae,Gygis,Gygis alba,White Tern,,,,,,,0
Charadriiformes,Laridae,Onychoprion,Onychoprion fuscatus,Sooty Tern,,,,,,,0
Charadriiformes,Laridae,Onychoprion,Onychoprion anaethetus,Bridled Tern,,,,,,,0
Charadriiformes,Laridae,Gelochelidon,Gelochelidon nilotica,Gull-billed Tern,,,,,,,0
Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia,Caspian Tern,,,,,,,0
Charadriiformes,Laridae,Larosterna,Larosterna inca,Inca Tern,,,,,,,0
Charadriiformes,Laridae,Chlidonias,Chlidonias niger,Black Tern,,,,,,,0
Charadriiformes,Laridae,Sterna,Sterna hirundo,Common Tern,,,,,,,0
Charadriiformes,Laridae,Thalasseus,Thalasseus maximus,Royal Tern,,,,,,,0
Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis,Sandwich Tern,,,,,,,0
Charadriiformes,Laridae,Thalasseus,Thalasseus elegans,Elegant Tern,,,,,,,0
Charadriiformes,Rynchopidae,Rynchops,Rynchops niger,Black Skimmer,,,,,,,0
Eurypygiformes,Eurypygidae,Eurypyga,Eurypyga helias,Sunbittern,,,,,,,0
Phaethontiformes,Phaethontidae,Phaethon,Phaethon lepturus,White-tailed Tropicbird,,,,,,,0
Phaethontiformes,Phaethontidae,Phaethon,Phaethon aethereus,Red-billed Tropicbird,,,,,,,0
Phaethontiformes,Phaethontidae,Phaethon,Phaethon rubricauda,Red-tailed Tropicbird,,,,,,,0
Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates leucorhous,Leach's Storm-Petrel,,,,,,,0
Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates castro,Band-rumped Storm-Petrel,,,,,,,0
Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates tethys,Wedge-rumped Storm-Petrel,,,,,,,0
